market_hash_name,qty,buy_price_usd,buy_date,notes
AWP | Atheris (Factory New),1,22.51,2025-01-10,
Desert Eagle | Heat Treated (Field-Tested),1,1.9,2025-01-10,
Glock-18 | Bunsen Burner (Factory New),1,2.0,2025-01-10,
Glock-18 | Vogue (Factory New),1,14.2,2026-04-28,
M4A1-S | Stratosphere (Field-Tested),1,12.23,2026-04-28,
Operator | FBI SWAT,2,15.829999999999998,2026-04-28,
SSG 08 | Zeno (Well-Worn),1,0.0,2025-01-10,
Soldier | Phoenix,1,2.0,2025-01-10,
USP-S | Cortex (Well-Worn),1,1.5,2025-01-10,
★ Falchion Knife | Lore (Field-Tested),1,85.0,2025-10-25,
