ts_utc,market_hash_name,price_cents,price_usd
2025-10-01T13:37:08+00:00,AK-47 | Redline (Field-Tested),3630,36.30
2025-10-01T13:52:06+00:00,AK-47 | Redline (Field-Tested),3630,36.30
2025-10-01T13:52:06+00:00,AWP | Atheris (Factory New),2299,22.99
2025-10-01T14:00:44+00:00,AK-47 | Redline (Field-Tested),3630,36.30
2025-10-01T14:00:44+00:00,AWP | Atheris (Factory New),2299,22.99
2025-10-01T14:03:16+00:00,AK-47 | Hydroponic (Factory New),869243,8692.43
2025-10-01T14:03:16+00:00,AK-47 | Redline (Field-Tested),3630,36.30
2025-10-01T14:03:16+00:00,AWP | Atheris (Factory New),2299,22.99
2025-10-01T14:37:54+00:00,AWP | Atheris (Factory New),2299,22.99
2025-10-01T14:37:54+00:00,SSG 08 | Zeno (Well-Worn),400,4.00
2025-10-01T14:45:18+00:00,AK-47 | Legion of Anubis (Minimal Wear),941,9.41
2025-10-01T14:45:18+00:00,AWP | Atheris (Factory New),2299,22.99
2025-10-01T14:45:18+00:00,AWP | Duality (Field-Tested),175,1.75
2025-10-01T14:45:18+00:00,Desert Eagle | Heat Treated (Field-Tested),150,1.50
2025-10-01T14:45:18+00:00,Glock-18 | Bunsen Burner (Factory New),349,3.49
2025-10-01T14:45:18+00:00,Operator | FBI SWAT,2772,27.72
2025-10-01T14:45:18+00:00,SSG 08 | Zeno (Well-Worn),400,4.00
2025-10-01T14:45:18+00:00,Soldier | Phoenix,1289,12.89
2025-10-01T14:45:18+00:00,USP-S | Cortex (Well-Worn),208,2.08
2025-10-01T14:48:27+00:00,AK-47 | Legion of Anubis (Minimal Wear),941,9.41
2025-10-01T14:48:27+00:00,AWP | Atheris (Factory New),2299,22.99
2025-10-01T14:48:27+00:00,AWP | Duality (Field-Tested),175,1.75
2025-10-01T14:48:27+00:00,Desert Eagle | Heat Treated (Field-Tested),150,1.50
2025-10-01T14:48:27+00:00,Glock-18 | Bunsen Burner (Factory New),349,3.49
2025-10-01T14:48:27+00:00,Operator | FBI SWAT,2772,27.72
2025-10-01T14:48:27+00:00,SSG 08 | Zeno (Well-Worn),400,4.00
2025-10-01T14:48:27+00:00,Soldier | Phoenix,1289,12.89
2025-10-01T14:48:27+00:00,USP-S | Cortex (Well-Worn),208,2.08
2025-10-01T15:26:41+00:00,AK-47 | Legion of Anubis (Minimal Wear),941,9.41
2025-10-01T15:26:41+00:00,AWP | Atheris (Factory New),2299,22.99
2025-10-01T15:26:41+00:00,AWP | Duality (Field-Tested),175,1.75
2025-10-01T15:26:41+00:00,Desert Eagle | Heat Treated (Field-Tested),150,1.50
2025-10-01T15:26:41+00:00,Glock-18 | Bunsen Burner (Factory New),349,3.49
2025-10-01T15:26:41+00:00,Operator | FBI SWAT,2772,27.72
